City,Cloudiness,Country,Date,Humidity (%),Lat,Lng,Temp (F),Wind Speed (MPH)
Ocho Rios,40,JM,1533499200,70,18.41,-77.1,89.6,11.41
Ilulissat,20,GL,1533502200,57,69.22,-51.1,48.2,4.7
Lerwick,92,GB,1533502200,87,60.15,-1.15,55.4,10.29
Glace Bay,90,CA,1533502800,88,46.2,-59.96,69.8,10.29
Lima,0,PE,1533503747,70,-12.06,-77.04,65.79,3.04
Morki,12,RU,1533503747,86,56.43,49.0,63.18,5.39
Isangel,68,VU,1533503747,100,-19.55,169.27,70.83,13.67
Basar,76,IN,1533503748,93,27.98,94.69,71.73,1.7
Huilong,64,CN,1533503748,91,28.89,110.18,74.34,2.15
Kushima,75,JP,1533501720,100,31.5,131.29,73.4,2.24
Pombas,0,BR,1533503749,55,-15.9,-54.74,83.97,4.16
Yarke Pole,0,UA,1533503750,70,45.61,34.32,68.4,3.6
Verkhoyansk,0,RU,1533503750,52,67.55,133.39,52.2,8.41
Kitimat,40,CA,1533502800,39,54.02,-128.69,80.6,2.24
Nelson Bay,0,AU,1533502800,81,-32.72,152.14,48.2,8.05
Westerland,12,NL,1533502500,77,52.89,4.93,62.6,4.7
Alta Floresta,20,BR,1533499200,38,-9.87,-56.08,93.2,1.12
Meadow Lake,75,CA,1533499200,64,54.13,-108.44,71.6,3.36
Buala,32,SB,1533503752,94,-8.15,159.59,79.74,11.1
Sola,0,FI,1533502200,93,62.78,29.36,60.8,1.12
San Cristobal,40,EC,1533499200,52,-0.39,-78.55,64.4,21.92
Yumen,0,CN,1533503753,65,40.29,97.04,63.63,8.19
Cherskiy,12,RU,1533503753,65,68.75,161.3,48.33,3.04
Kondinskoye,44,RU,1533503540,82,59.65,67.41,49.68,6.73
Kavieng,92,PG,1533503754,100,-2.57,150.8,76.68,7.18
Port Hedland,0,AU,1533502800,46,-20.31,118.58,50.0,9.17
Tuatapere,20,NZ,1533503755,100,-46.13,167.69,42.75,3.15
Hasaki,20,JP,1533501060,100,35.73,140.83,77.0,2.24
Half Moon Bay,40,US,1533502800,87,37.46,-122.43,74.8,12.75
Quetigny,0,FR,1533502800,47,47.31,5.12,82.51,6.93
Sabla,68,NG,1533503756,98,12.75,4.71,71.28,2.59
Koslan,88,RU,1533503756,69,63.46,48.9,60.39,6.06
Damara,68,CF,1533499200,100,4.96,18.7,69.8,4.7
Lata,100,IN,1533503757,100,30.78,78.62,60.48,1.7
Torrington,1,US,1533502380,53,42.06,-104.18,73.99,9.17
Port Augusta,88,AU,1533502800,81,-32.49,137.76,46.4,12.75
Mangrol,100,IN,1533503758,70,25.33,76.51,82.8,10.98
Tutoia,20,BR,1533499200,74,-2.76,-42.27,84.2,16.11
Farah,0,AF,1533503759,23,32.37,62.11,79.56,7.52
Havelock,90,US,1533501900,83,34.88,-76.9,80.38,3.36
Bulanash,76,RU,1533503761,81,57.28,62.0,60.66,6.96
Jodhpur,92,IN,1533503761,60,26.3,73.04,86.04,14.79
Jenison,1,US,1533501360,41,42.91,-85.79,89.2,17.22
Aldan,0,RU,1533503762,88,58.61,125.39,43.74,2.37
Lorengau,88,PG,1533503762,100,-2.02,147.27,79.38,6.62
Arlit,44,NE,1533503763,57,18.74,7.39,85.5,6.51
Sabha,8,LY,1533503763,20,27.03,14.43,88.83,10.09
Khasan,56,RU,1533503763,100,42.43,130.64,66.78,1.48
Padang,92,ID,1533503764,100,-0.92,100.36,75.69,0.58
Novikovo,0,UA,1533503764,98,45.05,34.56,65.34,3.15
Beringovskiy,68,RU,1533503765,100,63.05,179.32,50.58,6.17
Zeya,0,RU,1533503765,76,53.74,127.27,51.66,3.6
Bhatkal,88,IN,1533503765,100,13.97,74.57,75.33,8.52
Nuevo Progreso,20,US,1533502500,59,26.05,-97.95,89.2,9.17
Christchurch,92,NZ,1533502800,100,-43.53,172.64,44.6,6.93
Homer,90,US,1533502380,72,59.64,-151.54,65.34,8.05
Damietta,0,EG,1533499200,74,31.42,31.81,82.4,8.05
Naze,75,NG,1533499200,94,5.43,7.07,75.2,5.82
Saint-Pierre,0,FR,1533502800,49,48.95,4.24,74.39,6.93
Jiayuguan,92,CN,1533503768,83,39.77,98.29,57.87,2.48
Kizema,56,RU,1533503769,98,61.11,44.83,61.11,9.64
Maxixe,0,MZ,1533503769,87,-23.86,35.35,71.91,16.02
Nikolskoye,0,RU,1533501000,88,59.7,30.79,64.4,4.47
Sarangani,56,PH,1533503770,99,5.4,125.46,83.34,8.97
Itarema,12,BR,1533503770,62,-2.92,-39.92,83.16,15.46
Spas-Demensk,24,RU,1533503771,67,54.41,34.03,67.68,7.07
Hare Bay,90,CA,1533502800,88,48.86,-53.99,64.4,11.41
Hafizabad,0,PK,1533503772,72,32.07,73.69,86.67,4.94
Notre-Dame-du-Lac,40,CA,1533498780,48,47.61,-68.8,84.2,3.36
Petropavlovsk-Kamchatskiy,32,RU,1533501000,87,53.05,158.65,55.4,6.71
Mineiros,68,BR,1533503772,33,-17.57,-52.55,84.33,6.96
Hofn,92,IS,1533503773,100,64.25,-15.21,49.32,11.54
Zapolyarnyy,75,RU,1533502200,87,69.43,30.82,51.8,5.82
Pudur,20,IN,1533499200,62,9.29,78.14,84.2,5.82
Nome,75,US,1533502500,62,30.04,-94.42,85.93,5.82
Heishan,12,CN,1533503774,75,41.69,122.12,71.28,7.74
Mecca,0,SA,1533499200,36,21.43,39.83,95.0,2.59
Giresun,0,TR,1533503628,100,40.91,38.39,59.58,2.04
North Platte,1,US,1533502380,74,41.12,-100.77,80.6,13.87
Kaitangata,44,NZ,1533503775,64,-46.28,169.85,32.04,1.59
Serramanna,20,IT,1533502200,73,39.42,8.92,74.84,8.05
Yasothon,88,TH,1533503776,98,15.8,104.15,73.08,5.61
Te Anau,36,NZ,1533503776,84,-45.41,167.72,31.14,3.38
Salalah,75,OM,1533498600,88,17.01,54.1,78.8,6.93
Kununurra,0,AU,1533502800,76,-15.77,128.74,55.4,9.53
Clyde River,90,CA,1533502800,100,70.47,-68.59,35.6,8.05
Broken Hill,0,AU,1533503778,66,-31.97,141.45,45.99,19.71
Xuddur,0,SO,1533503778,69,4.12,43.89,73.26,11.1
Gay,75,RU,1533499200,73,51.47,58.44,69.8,6.71
Bartica,75,GY,1533499200,55,6.41,-58.62,89.6,9.17
Arroyo,20,US,1533502440,54,41.39,-78.88,85.42,5.82
Eston,75,CA,1533499200,56,51.15,-108.75,71.6,11.41
Bobon,80,PH,1533503779,100,12.53,124.56,80.91,16.8
Dicabisagan,12,PH,1533503780,100,17.08,122.42,76.05,5.17
Maldonado,0,UY,1533499200,71,-34.91,-54.96,57.2,9.17
Tazovskiy,32,RU,1533503781,87,67.47,78.7,45.18,10.76
Santa Catarina Ixtahuacan,40,GT,1533499200,59,14.8,-91.37,89.6,9.17
Severo-Kurilsk,64,RU,1533503781,99,50.68,156.12,51.84,3.94
Ruwi,0,OM,1533498600,38,23.6,58.55,93.2,2.24
Farragut,1,US,1533501300,46,40.72,-95.48,91.87,11.41
Balkanabat,0,TM,1533503782,44,39.51,54.36,78.21,1.36
Vaitape,12,PF,1533503783,99,-16.52,-151.75,80.01,14.79
Dakoro,80,NE,1533503784,98,14.51,6.76,70.38,8.08
Porto Velho,76,BR,1533503784,73,-8.75,-63.87,82.98,2.71
Nordfjordeid,75,NO,1533502200,87,61.91,5.99,52.43,3.36
Mount Isa,0,AU,1533502800,25,-20.73,139.49,64.4,23.04
Marsh Harbour,0,BS,1533503785,95,26.54,-77.06,84.69,14.12
Dingle,92,PH,1533503785,98,11.0,122.67,74.79,10.76
Harper,75,US,1533502500,40,30.3,-99.24,86.13,20.8
Black River,20,JM,1533499200,70,18.03,-77.85,89.6,21.92
Rawson,0,AR,1533503787,46,-43.3,-65.11,58.5,10.2
Saint-Leu,0,RE,1533501000,52,-21.15,55.28,67.14,10.29
Burns Lake,0,CA,1533503787,47,54.23,-125.76,71.55,2.48
Vanimo,36,PG,1533503788,100,-2.67,141.3,81.18,5.5
Muswellbrook,88,AU,1533503788,72,-32.27,150.89,50.58,7.4
Matiari,8,PK,1533502800,70,25.6,68.45,84.2,13.87
Ulaangom,48,MN,1533503788,82,49.98,92.07,44.64,2.71
Tura,92,IN,1533503789,98,25.52,90.21,74.79,3.38
Geraldton,75,CA,1533502920,57,49.72,-86.95,80.6,16.11
Maceio,0,BR,1533502800,88,-9.67,-35.74,73.4,5.82
Tandil,36,AR,1533503790,65,-37.33,-59.14,55.89,10.09
Moose Factory,40,CA,1533502800,51,51.26,-80.61,82.4,18.34
Badami,92,IN,1533503791,90,15.92,75.68,71.82,16.58
Lamu,88,ID,1533503791,96,0.57,122.3,74.88,2.59
The Valley,40,AI,1533499200,70,18.22,-63.06,85.14,16.11
Shingu,0,JP,1533503792,96,33.72,135.99,81.72,6.06
Belaya Gora,64,RU,1533503792,72,68.54,146.19,47.61,7.4
Nha Trang,92,VN,1533503793,100,12.24,109.19,73.08,4.61
Cabo San Lucas,5,MX,1533498480,52,22.89,-109.91,90.82,11.41
Bhinmal,76,IN,1533503793,62,25.01,72.27,85.14,16.58
Santa Rosa,24,AR,1533503496,51,-36.62,-64.29,60.66,3.15
At-Bashi,0,KG,1533503797,83,41.17,75.81,44.19,0.92
Bazaliya,92,UA,1533503797,86,49.71,26.47,68.22,5.17
Surgut,0,RU,1533501000,81,61.25,73.4,53.6,4.47
Komsomolskiy,44,RU,1533503798,86,67.55,63.78,41.49,5.95
Quelimane,0,MZ,1533503798,89,-17.88,36.89,69.75,7.96
Nioro,24,GM,1533503798,82,13.79,-15.05,80.28,9.75
Wanning,90,AT,1533502200,73,48.64,13.53,73.4,4.7
Mehamn,75,NO,1533502200,93,71.03,27.85,48.85,12.75
Iglas,56,IN,1533503801,83,27.71,77.94,79.29,8.19
Killybegs,92,IE,1533503801,96,54.63,-8.45,59.94,13.11
Mairana,88,BO,1533503801,81,-18.12,-63.96,57.24,3.04
Saint-Joseph,0,FR,1533502800,57,43.56,6.97,79.36,3.36
Raha,88,NG,1533503802,98,10.89,8.13,67.77,8.63
Pisco,0,PE,1533499200,68,-13.71,-76.2,66.2,11.41
Nizhnevartovsk,0,RU,1533501000,100,60.93,76.58,50.0,4.47
Devils Lake,40,US,1533501300,47,48.11,-98.87,76.91,4.7
Buenaventura,92,CO,1533503803,98,3.89,-77.07,72.0,3.04
Matay,0,EG,1533503803,45,28.42,30.79,82.53,6.62
Yaan,92,NG,1533503804,99,7.38,8.57,70.92,4.72
Laguna,75,MX,1533498360,50,27.52,-110.01,96.8,9.17
Volodarka,24,UA,1533503804,90,49.52,29.93,66.96,2.71
Ellensburg,1,US,1533502500,21,47.0,-120.55,84.63,4.7
Oksfjord,75,NO,1533502200,76,70.24,22.35,52.99,13.87
Guerrero Negro,20,MX,1533503805,52,27.97,-114.04,85.68,11.43
Merauke,76,ID,1533503806,98,-8.49,140.4,75.78,9.98
Bongandanga,64,CD,1533503806,91,1.51,21.07,75.24,2.71
Sobolevo,20,RU,1533503806,97,54.43,31.9,60.66,3.38
Vestmannaeyjar,75,IS,1533499200,93,63.44,-20.27,51.8,24.16
Moosomin,20,CA,1533503807,77,50.14,-101.67,69.3,9.53
Bay Roberts,90,CA,1533502800,93,47.58,-53.28,57.2,17.22
Taoudenni,92,ML,1533503808,28,22.68,-3.98,94.77,2.71
Uruzgan,0,AF,1533503808,77,32.93,66.63,47.79,1.92
Medeiros Neto,24,BR,1533503808,52,-17.37,-40.22,82.8,10.2
Butembo,48,CD,1533503809,93,0.12,29.29,61.83,0.47
Carutapera,8,BR,1533503556,77,-1.2,-46.02,81.27,10.2
Newport,0,GB,1533502200,82,51.59,-3.0,66.9,5.82
Sabang,48,PH,1533503810,98,13.72,123.58,78.75,7.18
Olinda,40,EC,1533499200,62,-2.03,-79.75,84.2,8.05
Staryy Nadym,64,RU,1533503811,75,65.61,72.68,48.24,5.5
Tacna,40,PE,1533499200,72,-18.01,-70.25,62.6,9.17
Marawi,88,PH,1533503811,100,8.0,124.29,68.85,3.15
Alice Springs,0,AU,1533502800,44,-23.7,133.88,39.2,6.93
Donskoye,0,RU,1533501000,49,45.45,41.98,71.6,8.95
Svetlogorsk,40,RU,1533501000,77,53.14,59.15,64.4,8.95
Rovaniemi,0,FI,1533502200,67,66.5,25.72,57.2,5.82
Warrington,0,GB,1533502200,68,53.39,-2.59,68.9,3.36
Batagay,0,RU,1533503813,57,67.65,134.64,54.0,5.73
Baijiantan,0,CN,1533503813,43,45.63,85.18,71.01,7.18
El Dorado,8,VE,1533503814,75,6.71,-61.64,81.54,3.04
Pangnirtung,90,CA,1533499200,62,66.15,-65.72,51.8,28.86
Tarakan,48,ID,1533503814,100,3.3,117.63,78.3,2.71
Riobamba,56,EC,1533503815,70,-1.67,-78.65,56.07,1.59
Senanga,0,ZM,1533503815,39,-16.1,23.3,64.08,6.06
Ambilobe,0,MG,1533503816,64,-13.19,49.05,69.93,12.21
Saldanha,8,PT,1533503816,27,41.42,-6.55,80.64,6.17
Duma,0,SY,1533502800,60,33.57,36.4,73.4,18.34
Sisimiut,0,GL,1533503817,74,66.94,-53.67,50.76,2.48
Ixtapa,75,MX,1533498240,66,20.71,-105.21,87.8,9.17
Nemuro,68,JP,1533503818,100,43.32,145.57,58.41,15.01
Ambovombe,0,MG,1533503818,90,-25.18,46.09,61.29,3.04
Novyy Urengoy,20,RU,1533503818,80,66.08,76.63,44.28,11.21
Oranjemund,0,ZA,1533503819,100,-28.55,16.43,57.96,9.19
Madimba,75,CM,1533499200,94,4.42,9.93,77.0,2.24
General Pico,56,AR,1533503819,43,-35.66,-63.75,65.25,3.38
Payson,1,US,1533502560,18,40.04,-111.73,85.78,8.05
Palu,0,ID,1533503820,91,-0.9,119.87,61.02,1.7
Kutum,48,SD,1533503820,92,14.2,24.66,65.16,1.48
Luang Prabang,100,LA,1533503820,100,19.89,102.14,68.94,1.03
Mendoza,0,AR,1533499200,34,-32.89,-68.84,68.0,5.82
Koumac,0,NC,1533503821,78,-20.56,164.28,66.78,8.19
Ardakan,0,IR,1533499200,11,32.31,54.02,89.6,6.93
Kingaroy,0,AU,1533503822,91,-26.54,151.84,50.31,6.62
Brewster,0,US,1533501300,69,41.76,-70.08,82.42,10.29
Mehran,0,IR,1533499200,26,33.12,46.17,82.4,6.93
Vyritsa,0,RU,1533501000,88,59.41,30.35,64.4,4.47
Verkhnevilyuysk,0,RU,1533503823,85,63.45,120.31,48.69,3.04
Quimper,0,FR,1533502800,77,48.0,-4.1,68.29,4.7
Pangai,75,TO,1533502800,68,-19.8,-174.35,71.6,11.41
Bakchar,0,RU,1533503824,82,57.02,82.07,41.4,4.38
Makasar,20,ID,1533502800,60,-6.28,106.88,73.4,5.82
Ketchikan,1,US,1533502560,60,55.34,-131.65,72.3,10.29
Annau,75,TM,1533499200,46,37.89,58.52,93.2,11.41
Sao Joao da Barra,20,BR,1533499200,69,-21.64,-41.05,77.0,5.82
Sibu,75,MY,1533499200,88,2.29,111.83,77.0,2.48
Dunedin,20,NZ,1533503742,78,-45.87,170.5,28.53,2.93
Serenje,0,ZM,1533503826,55,-13.23,30.22,55.8,6.73
Cabo Rojo,90,PR,1533498600,69,18.09,-67.15,80.6,6.93
Kungurtug,88,RU,1533503827,100,50.6,97.53,43.38,2.37
Bogovarovo,36,RU,1533503827,91,58.98,47.02,63.36,4.72
Luganville,88,VU,1533503828,100,-15.51,167.18,74.7,15.68
Nizhniy Odes,80,RU,1533503828,73,63.64,54.86,55.26,5.73
Terre-de-Bas,44,GP,1533501000,94,15.85,-61.64,82.72,6.93
Dengzhou,44,CN,1533503828,97,32.69,112.08,75.06,3.38
Turochak,20,RU,1533503829,90,52.26,87.12,50.85,0.92
Talcahuano,90,CL,1533500820,93,-36.72,-73.12,53.6,11.41
San Quintin,0,PH,1533503829,88,17.54,120.52,69.21,2.59
Kurchum,76,KZ,1533503830,71,48.57,83.65,66.78,8.75
Rome,20,IT,1533502200,74,41.89,12.48,80.74,2.24
San Policarpo,88,PH,1533503830,97,12.18,125.51,80.46,10.65
Tomioka,12,JP,1533503831,90,36.26,138.87,67.14,1.92
Klyuchi,12,RU,1533503831,66,52.25,79.17,55.53,8.08
Kandrian,92,PG,1533503831,100,-6.21,149.55,71.46,3.49
Flin Flon,20,CA,1533502800,48,54.77,-101.88,64.4,2.24
Pottsville,1,US,1533502560,58,40.69,-76.2,89.01,3.04
Port Blair,92,IN,1533503832,100,11.67,92.75,79.38,27.87
Takoradi,44,GH,1533503833,100,4.89,-1.75,75.33,9.53
Saiha,80,IN,1533503833,99,22.49,92.98,69.12,1.48
Namatanai,68,PG,1533503833,100,-3.66,152.44,76.5,2.59
Laem Sing,92,TH,1533503834,100,12.48,102.07,74.97,5.73
Mpika,0,ZM,1533503834,57,-11.84,31.4,57.6,8.19
Buchmany,12,UA,1533503834,73,51.07,28.04,68.76,8.52
Semporna,75,MY,1533499200,100,4.48,118.61,71.6,1.12
Horta,0,ES,1533501000,51,41.43,2.16,84.24,3.36
Puquio,36,PE,1533503835,34,-14.69,-74.12,53.28,3.94
Sinop,0,TR,1533503836,93,42.03,35.15,80.64,1.7
Verkhnyaya Inta,32,RU,1533503836,90,65.99,60.32,42.03,2.37
Pontal do Parana,0,BR,1533499200,51,-25.67,-48.51,62.6,9.17
Bonneuil,0,FR,1533502800,42,46.37,1.23,77.85,8.05
Victoria,75,BN,1533501000,94,5.28,115.24,76.08,3.36
Moranbah,44,AU,1533503838,94,-22.0,148.04,54.81,2.71
Birao,48,CF,1533503838,94,10.3,22.78,71.46,2.71
Skjervoy,75,NO,1533498600,93,70.03,20.97,53.6,13.87
Amazar,64,RU,1533503839,87,53.86,120.88,51.39,2.15
Opuwo,0,NA,1533503839,52,-18.06,13.84,57.78,3.71
Concarneau,0,FR,1533502800,77,47.88,-3.92,70.38,4.7
Louis Trichardt,0,ZA,1533503840,50,-23.04,29.91,55.53,2.15
Kasongo-Lunda,0,CD,1533503840,91,-6.48,16.82,70.38,2.15
Louga,75,SN,1533502800,74,15.62,-16.22,80.6,13.87
Borova,44,UA,1533501000,94,50.18,30.1,68.59,4.47
Redmond,20,US,1533502680,41,47.67,-122.12,80.2,5.82
Samarai,100,PG,1533503842,100,-10.62,150.67,77.76,13.0
Tambilil,12,PH,1533503842,100,5.96,124.67,70.56,2.37
Henties Bay,0,NA,1533503842,100,-22.12,14.28,53.37,7.63
Caravelas,8,BR,1533503843,98,-17.73,-39.27,76.86,19.71
Kalmar,0,SE,1533502200,52,56.66,16.36,66.2,11.41
Rancho Palos Verdes,5,US,1533502680,61,33.75,-118.37,85.3,16.11
Kapit,56,MY,1533503844,94,2.02,112.94,71.73,1.36
Hubli,92,IN,1533503752,98,15.35,75.17,69.21,14.79
Madawaska,40,CA,1533498840,48,47.36,-68.32,86.38,3.36
Zhigansk,8,RU,1533503845,71,66.77,123.37,52.56,7.4
Gushikawa,1,JP,1533502560,94,26.35,127.87,77.16,6.73
Miandrivazo,0,MG,1533503846,72,-19.53,45.46,54.9,2.59
Bayan,36,MN,1533503846,97,47.25,107.54,56.34,4.38
Goderich,32,CA,1533503846,67,43.74,-81.71,84.96,13.56
Tungor,0,RU,1533503847,70,53.39,142.95,59.31,10.76
Egvekinot,92,RU,1533503847,59,66.32,-179.17,48.33,3.04
Baruun-Urt,80,MN,1533503847,81,46.68,113.28,60.93,3.04
